date,date_yyyymmdd,game_id,player,player_id,team_code,opponent_code,sb,source,cache_file
"Wednesday, September 4, 2024",20240904,SFN202409040,Corbin Carroll,carroco02,ARI,SF,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__September_4__2024___Baseball-Reference_com.json
"Tuesday, April 8, 2025",20250408,ARI202504080,Jorge Mateo,mateojo01,BAL,ARI,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Arizona_Diamondbacks_Box_Score__April_8__2025___Baseball-Reference_com.json
"Monday, June 28, 2021",20210628,HOU202106280,Cedric Mullins,mullice01,BAL,HOU,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Houston_Astros_Box_Score__June_28__2021___Baseball-Reference_com.json
"Tuesday, July 2, 2019",20190702,TBA201907020,Joey Wendle,wendljo01,TB,BAL,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Tampa_Bay_Rays_Box_Score__July_2__2019___Baseball-Reference_com.json
"Monday, June 29, 2009",20090629,BAL200906290,Jacoby Ellsbury,ellsbja01,BOS,BAL,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__June_29__2009___Baseball-Reference_com.json
"Monday, June 2, 2008",20080602,BAL200806020,Brian Roberts,roberbr01,BAL,BOS,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__June_2__2008___Baseball-Reference_com.json
"Thursday, April 17, 2008",20080417,BAL200804170,Orlando Cabrera,cabreor01,CWS,BAL,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Chicago_White_Sox_vs_Baltimore_Orioles_Box_Score__April_17__2008___Baseball-Reference_com.json
"Wednesday, April 24, 2013",20130424,CHA201304240,Jason Kipnis,kipnija01,CLE,CWS,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Chicago_White_Sox_Box_Score__April_24__2013___Baseball-Reference_com.json
"Monday, September 6, 2021",20210906,BAL202109060,Adalberto Mondesí,mondera02,KC,BAL,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_Baltimore_Orioles_Box_Score__September_6__2021___Baseball-Reference_com.json
"Friday, July 11, 2025",20250711,SFN202507110,Hyeseong Kim,kimhy02,LAD,SF,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__July_11__2025___Baseball-Reference_com.json
"Friday, May 3, 2024",20240503,OAK202405030,Vidal Bruján,brujavi01,MIA,OAK,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Miami_Marlins_vs_Oakland_Athletics_Box_Score__May_3__2024___Baseball-Reference_com.json
"Sunday, April 5, 2026",20260405,SFN202604050,Luis Robert Jr.,roberlu01,NYM,SF,2,unknown,/Users/jeremypushkin/mlb_processor/cache/New_York_Mets_vs_San_Francisco_Giants_Box_Score__April_5__2026___Baseball-Reference_com.json
"Wednesday, April 23, 2008",20080423,WAS200804230,Ángel Pagán,paganan01,NYM,WSH,2,unknown,/Users/jeremypushkin/mlb_processor/cache/New_York_Mets_vs_Washington_Nationals_Box_Score__April_23__2008___Baseball-Reference_com.json
"Wednesday, May 26, 2010",20100526,BAL201005260,Rajai Davis,davisra01,OAK,BAL,3,unknown,/Users/jeremypushkin/mlb_processor/cache/Oakland_Athletics_vs_Baltimore_Orioles_Box_Score__May_26__2010___Baseball-Reference_com.json
"Sunday, May 27, 2007",20070527,BAL200705270,Corey Patterson,patteco01,BAL,OAK,3,unknown,/Users/jeremypushkin/mlb_processor/cache/Oakland_Athletics_vs_Baltimore_Orioles_Box_Score__May_27__2007___Baseball-Reference_com.json
"Friday, May 10, 2019",20190510,KCA201905100,Adalberto Mondesí,mondera02,KC,PHI,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Philadelphia_Phillies_vs_Kansas_City_Royals_Box_Score__May_10__2019___Baseball-Reference_com.json
"Sunday, May 13, 2018",20180513,BAL201805130,Denard Span,spande01,TB,BAL,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Tampa_Bay_Rays_vs_Baltimore_Orioles_Box_Score__May_13__2018___Baseball-Reference_com.json
"Sunday, July 6, 2008",20080706,BAL200807060,Brian Roberts,roberbr01,BAL,TEX,2,unknown,/Users/jeremypushkin/mlb_processor/cache/Texas_Rangers_vs_Baltimore_Orioles_Box_Score__July_6__2008___Baseball-Reference_com.json
"Tuesday, June 24, 2025",20250624,BAL202506240,Sam Haggerty,haggesa01,TEX,BAL,3,unknown,/Users/jeremypushkin/mlb_processor/cache/Texas_Rangers_vs_Baltimore_Orioles_Box_Score__June_24__2025___Baseball-Reference_com.json
"Monday, April 8, 2024",20240408,SFN202404080,Trey Lipscomb,lipsctr01,WSH,SF,3,unknown,/Users/jeremypushkin/mlb_processor/cache/Washington_Nationals_vs_San_Francisco_Giants_Box_Score__April_8__2024___Baseball-Reference_com.json
"Tuesday, April 9, 2024",20240409,SFN202404090,Jacob Young,youngja03,WSH,SF,3,unknown,/Users/jeremypushkin/mlb_processor/cache/Washington_Nationals_vs_San_Francisco_Giants_Box_Score__April_9__2024___Baseball-Reference_com.json
