date_yyyymmdd,away_team_code,home_team_code,count,game_ids,groups,cache_files
20100326,MIN,BAL,2,"BAL201003260, BAL201003260","mlb_spring, pdf_spring",/Users/jeremypushkin/mlb_processor/cache/MBAL201003260.json | /Users/jeremypushkin/mlb_processor/cache/Minnesota_Twins_vs_Baltimore_Orioles_Spring_Training__Friday__March_26__2010.json
20100327,BOS,BAL,2,"BAL201003270, BAL201003270","pdf_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Spring_Training__Saturday__March_27__2010.json | /Users/jeremypushkin/mlb_processor/cache/MBAL201003270.json
20250220,CHC,LAD,2,"LAN202502200, LAN202502200","mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_Los_Angeles_Dodgers_Spring_Training__Thursday__February_20__2025.json | /Users/jeremypushkin/mlb_processor/cache/MLAD202502200.json
20250221,COL,ARI,2,"ARI202502210, ARI202502210","mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Arizona_Diamondbacks_Spring_Training__Friday__February_21__2025.json | /Users/jeremypushkin/mlb_processor/cache/MARI202502210.json
20250222,CLE,CIN,2,"CIN202502220, CIN202502220","mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Cleveland_Guardians_vs_Cincinnati_Reds_Spring_Training__Saturday__February_22__2025.json | /Users/jeremypushkin/mlb_processor/cache/MCIN202502220.json
20250223,ARI,SEA,2,"SEA202502230, SEA202502230","mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Seattle_Mariners_Spring_Training__Sunday__February_23__2025.json | /Users/jeremypushkin/mlb_processor/cache/MSEA202502230.json
20250524,BAL,BOS,2,"BOS202505241, BOS202505242","legacy_bref_unknown, legacy_bref_unknown",/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_24__2025___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_24__2025___Baseball-Reference_com_2_.json
20260419,CWS,ATH,2,"ATH202604190, ATH202604190","unknown_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/CWS_vs_Athletics_Box_Score__April_19__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/MATH202604190.json
20260421,LAD,SF,2,"SFN202604210, SFN202604210","mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_21__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604210.json
20260422,LAD,SF,2,"SFN202604220, SFN202604220","mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_22__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604220.json
20260423,LAD,SF,2,"SFN202604230, SFN202604230","mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_23__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604230.json
20260424,MIA,SF,2,"SFN202604240, SFN202604240","mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Miami_Marlins_vs_San_Francisco_Giants_Box_Score__April_24__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604240.json
20260425,MIA,SF,2,"SFN202604250, SFN202604250","mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Miami_Marlins_vs_San_Francisco_Giants_Box_Score__April_25__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604250.json
