game_id,recommended_keep,cache_file,source_group,date_yyyymmdd,away_team_code,home_team_code,score,batters,pitchers,milestones,plays,has_footer,quality_score
ARI202502210,True,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Arizona_Diamondbacks_Spring_Training__Friday__February_21__2025.json,mlb_spring,20250221,COL,ARI,12 - 8,38,18,0,90,False,"(56, 0, 90, 0, 1, 0)"
ARI202502210,False,/Users/jeremypushkin/mlb_processor/cache/MARI202502210.json,mlb_spring,20250221,COL,ARI,12 - 8,37,18,0,90,False,"(55, 0, 90, 0, 1, 0)"
ATH202604190,True,/Users/jeremypushkin/mlb_processor/cache/CWS_vs_Athletics_Box_Score__April_19__2026___Baseball-Reference_com.json,unknown_regular,20260419,CWS,ATH,7 - 4,33,9,2,78,True,"(42, 2, 78, 1, 0, 0)"
ATH202604190,False,/Users/jeremypushkin/mlb_processor/cache/MATH202604190.json,mlb_regular,20260419,CWS,ATH,7 - 4,23,9,0,78,False,"(32, 0, 78, 0, 1, 0)"
BAL201003260,True,/Users/jeremypushkin/mlb_processor/cache/MBAL201003260.json,mlb_spring,20100326,MIN,BAL,4 - 3,30,7,0,73,False,"(37, 0, 73, 0, 1, 0)"
BAL201003260,False,/Users/jeremypushkin/mlb_processor/cache/Minnesota_Twins_vs_Baltimore_Orioles_Spring_Training__Friday__March_26__2010.json,pdf_spring,20100326,MIN,BAL,4 - 3,0,0,0,74,False,"(0, 0, 74, 0, 0, -1)"
BAL201003270,False,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Spring_Training__Saturday__March_27__2010.json,pdf_spring,20100327,BOS,BAL,1 - 6,0,0,0,73,False,"(0, 0, 73, 0, 0, -1)"
BAL201003270,True,/Users/jeremypushkin/mlb_processor/cache/MBAL201003270.json,mlb_spring,20100327,BOS,BAL,1 - 6,24,10,0,72,False,"(34, 0, 72, 0, 1, 0)"
CIN202502220,True,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Guardians_vs_Cincinnati_Reds_Spring_Training__Saturday__February_22__2025.json,mlb_spring,20250222,CLE,CIN,3 - 6,37,14,0,69,False,"(51, 0, 69, 0, 1, 0)"
CIN202502220,False,/Users/jeremypushkin/mlb_processor/cache/MCIN202502220.json,mlb_spring,20250222,CLE,CIN,3 - 6,36,14,0,69,False,"(50, 0, 69, 0, 1, 0)"
LAN202502200,True,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_Los_Angeles_Dodgers_Spring_Training__Thursday__February_20__2025.json,mlb_spring,20250220,CHC,LAD,12 - 4,36,19,0,85,False,"(55, 0, 85, 0, 1, 0)"
LAN202502200,False,/Users/jeremypushkin/mlb_processor/cache/MLAD202502200.json,mlb_spring,20250220,CHC,LAD,12 - 4,36,19,0,85,False,"(55, 0, 85, 0, 1, 0)"
SEA202502230,True,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Seattle_Mariners_Spring_Training__Sunday__February_23__2025.json,mlb_spring,20250223,ARI,SEA,5 - 11,37,19,0,85,False,"(56, 0, 85, 0, 1, 0)"
SEA202502230,False,/Users/jeremypushkin/mlb_processor/cache/MSEA202502230.json,mlb_spring,20250223,ARI,SEA,5 - 11,37,19,0,85,False,"(56, 0, 85, 0, 1, 0)"
SFN202604210,True,/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_21__2026___Baseball-Reference_com.json,mlb_regular,20260421,LAD,SF,1 - 3,21,8,2,68,False,"(29, 2, 68, 0, 1, 0)"
SFN202604210,False,/Users/jeremypushkin/mlb_processor/cache/SFN202604210.json,mlb_regular,20260421,LAD,SF,1 - 3,21,8,2,68,False,"(29, 2, 68, 0, 1, 0)"
SFN202604220,True,/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_22__2026___Baseball-Reference_com.json,mlb_regular,20260422,LAD,SF,0 - 3,18,6,5,66,False,"(24, 5, 66, 0, 1, 0)"
SFN202604220,False,/Users/jeremypushkin/mlb_processor/cache/SFN202604220.json,mlb_regular,20260422,LAD,SF,0 - 3,18,6,5,66,False,"(24, 5, 66, 0, 1, 0)"
