game_id,count,groups,cache_files
ARI202502210,2,"mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Arizona_Diamondbacks_Spring_Training__Friday__February_21__2025.json | /Users/jeremypushkin/mlb_processor/cache/MARI202502210.json
ATH202604190,2,"unknown_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/CWS_vs_Athletics_Box_Score__April_19__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/MATH202604190.json
BAL201003260,2,"mlb_spring, pdf_spring",/Users/jeremypushkin/mlb_processor/cache/MBAL201003260.json | /Users/jeremypushkin/mlb_processor/cache/Minnesota_Twins_vs_Baltimore_Orioles_Spring_Training__Friday__March_26__2010.json
BAL201003270,2,"pdf_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Spring_Training__Saturday__March_27__2010.json | /Users/jeremypushkin/mlb_processor/cache/MBAL201003270.json
CIN202502220,2,"mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Cleveland_Guardians_vs_Cincinnati_Reds_Spring_Training__Saturday__February_22__2025.json | /Users/jeremypushkin/mlb_processor/cache/MCIN202502220.json
LAN202502200,2,"mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_Los_Angeles_Dodgers_Spring_Training__Thursday__February_20__2025.json | /Users/jeremypushkin/mlb_processor/cache/MLAD202502200.json
SEA202502230,2,"mlb_spring, mlb_spring",/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Seattle_Mariners_Spring_Training__Sunday__February_23__2025.json | /Users/jeremypushkin/mlb_processor/cache/MSEA202502230.json
SFN202604210,2,"mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_21__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604210.json
SFN202604220,2,"mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_22__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604220.json
SFN202604230,2,"mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Los_Angeles_Dodgers_vs_San_Francisco_Giants_Box_Score__April_23__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604230.json
SFN202604240,2,"mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Miami_Marlins_vs_San_Francisco_Giants_Box_Score__April_24__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604240.json
SFN202604250,2,"mlb_regular, mlb_regular",/Users/jeremypushkin/mlb_processor/cache/Miami_Marlins_vs_San_Francisco_Giants_Box_Score__April_25__2026___Baseball-Reference_com.json | /Users/jeremypushkin/mlb_processor/cache/SFN202604250.json
