group,game_id,stored_events,recomputed_events,cache_file
legacy_bref_unknown,LAN201804130,1,5,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Los_Angeles_Dodgers_Box_Score__April_13__2018___Baseball-Reference_com.json
legacy_bref_unknown,LAN201804140,1,9,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Los_Angeles_Dodgers_Box_Score__April_14__2018___Baseball-Reference_com.json
legacy_bref_unknown,LAN201804150,2,9,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Los_Angeles_Dodgers_Box_Score__April_15__2018___Baseball-Reference_com.json
legacy_bref_unknown,NYN201708210,1,5,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_New_York_Mets_Box_Score__August_21__2017___Baseball-Reference_com.json
legacy_bref_unknown,OAK201107030,1,5,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_Oakland_Athletics_Box_Score__July_3__2011___Baseball-Reference_com.json
legacy_bref_unknown,SDN201807280,0,5,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Diego_Padres_Box_Score__July_28__2018___Baseball-Reference_com.json
legacy_bref_unknown,SDN201807290,0,4,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Diego_Padres_Box_Score__July_29__2018___Baseball-Reference_com.json
legacy_bref_unknown,SFN202306240,0,7,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__June_24__2023___Baseball-Reference_com.json
legacy_bref_unknown,SFN201806040,0,4,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__June_4__2018___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505120,3,15,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__May_12__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505130,3,10,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__May_13__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202109280,0,3,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__September_28__2021___Baseball-Reference_com.json
legacy_bref_unknown,SFN202409040,3,6,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__September_4__2024___Baseball-Reference_com.json
legacy_bref_unknown,SFN202509080,1,5,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__September_8__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202509090,0,2,/Users/jeremypushkin/mlb_processor/cache/Arizona_Diamondbacks_vs_San_Francisco_Giants_Box_Score__September_9__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505160,4,10,/Users/jeremypushkin/mlb_processor/cache/Athletics_vs_San_Francisco_Giants_Box_Score__May_16__2025___Baseball-Reference_com.json
legacy_bref_unknown,NYN202405120,0,2,/Users/jeremypushkin/mlb_processor/cache/Atlanta_Braves_vs_New_York_Mets_Box_Score__May_12__2024___Baseball-Reference_com.json
legacy_bref_unknown,ARI202504080,2,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Arizona_Diamondbacks_Box_Score__April_8__2025___Baseball-Reference_com.json
legacy_bref_unknown,ARI202504090,1,8,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Arizona_Diamondbacks_Box_Score__April_9__2025___Baseball-Reference_com.json
legacy_bref_unknown,ATH202506080,0,3,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Athletics_Box_Score__June_8__2025___Baseball-Reference_com.json
legacy_bref_unknown,BOS202505231,4,16,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_23__2025___Baseball-Reference_com.json
legacy_bref_unknown,BOS202505241,0,1,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_24__2025___Baseball-Reference_com.json
legacy_bref_unknown,BOS202505242,3,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_24__2025___Baseball-Reference_com_2_.json
legacy_bref_unknown,BOS202505250,1,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Boston_Red_Sox_Box_Score__May_25__2025___Baseball-Reference_com.json
legacy_bref_unknown,CIN202207290,0,3,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Cincinnati_Reds_Box_Score__July_29__2022___Baseball-Reference_com.json
legacy_bref_unknown,CIN202207300,1,8,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Cincinnati_Reds_Box_Score__July_30__2022___Baseball-Reference_com.json
legacy_bref_unknown,CIN202207310,1,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Cincinnati_Reds_Box_Score__July_31__2022___Baseball-Reference_com.json
legacy_bref_unknown,CLE201605280,1,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Cleveland_Indians_Box_Score__May_28__2016___Baseball-Reference_com.json
legacy_bref_unknown,COL202408300,2,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Colorado_Rockies_Box_Score__August_30__2024___Baseball-Reference_com.json
legacy_bref_unknown,COL202408310,0,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Colorado_Rockies_Box_Score__August_31__2024___Baseball-Reference_com.json
legacy_bref_unknown,COL202409010,1,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Colorado_Rockies_Box_Score__September_1__2024___Baseball-Reference_com.json
legacy_bref_unknown,HOU202106280,1,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Houston_Astros_Box_Score__June_28__2021___Baseball-Reference_com.json
legacy_bref_unknown,HOU202106290,1,10,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Houston_Astros_Box_Score__June_29__2021___Baseball-Reference_com.json
legacy_bref_unknown,HOU202106300,0,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Houston_Astros_Box_Score__June_30__2021___Baseball-Reference_com.json
legacy_bref_unknown,KCA202404190,2,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Kansas_City_Royals_Box_Score__April_19__2024___Baseball-Reference_com.json
legacy_bref_unknown,KCA202404200,1,8,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Kansas_City_Royals_Box_Score__April_20__2024___Baseball-Reference_com.json
legacy_bref_unknown,KCA202404210,1,3,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Kansas_City_Royals_Box_Score__April_21__2024___Baseball-Reference_com.json
legacy_bref_unknown,ANA202505100,0,1,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Los_Angeles_Angels_Box_Score__May_10__2025___Baseball-Reference_com.json
legacy_bref_unknown,ANA202505110,0,3,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Los_Angeles_Angels_Box_Score__May_11__2025___Baseball-Reference_com.json
legacy_bref_unknown,ANA202505090,1,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Los_Angeles_Angels_Box_Score__May_9__2025___Baseball-Reference_com.json
legacy_bref_unknown,MIL201405280,2,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Milwaukee_Brewers_Box_Score__May_28__2014___Baseball-Reference_com.json
legacy_bref_unknown,MIN202307070,2,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Minnesota_Twins_Box_Score__July_7__2023___Baseball-Reference_com.json
legacy_bref_unknown,MIN202307080,1,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Minnesota_Twins_Box_Score__July_8__2023___Baseball-Reference_com.json
legacy_bref_unknown,MIN202307090,4,12,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Minnesota_Twins_Box_Score__July_9__2023___Baseball-Reference_com.json
legacy_bref_unknown,MIN201605100,1,9,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Minnesota_Twins_Box_Score__May_10__2016___Baseball-Reference_com.json
legacy_bref_unknown,NYA202509270,2,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_New_York_Yankees_Box_Score__September_27__2025___Baseball-Reference_com.json
legacy_bref_unknown,NYA202509280,1,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_New_York_Yankees_Box_Score__September_28__2025___Baseball-Reference_com.json
legacy_bref_unknown,OAK202204180,1,2,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Oakland_Athletics_Box_Score__April_18__2022___Baseball-Reference_com.json
legacy_bref_unknown,OAK202407050,1,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Oakland_Athletics_Box_Score__July_5__2024___Baseball-Reference_com.json
legacy_bref_unknown,OAK202407060,1,14,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Oakland_Athletics_Box_Score__July_6__2024___Baseball-Reference_com.json
legacy_bref_unknown,OAK202407070,1,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Oakland_Athletics_Box_Score__July_7__2024___Baseball-Reference_com.json
legacy_bref_unknown,OAK202105010,0,1,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Oakland_Athletics_Box_Score__May_1__2021___Baseball-Reference_com.json
legacy_bref_unknown,PHI200906210,3,8,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Philadelphia_Phillies_Box_Score__June_21__2009___Baseball-Reference_com.json
legacy_bref_unknown,SDN202509010,5,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Diego_Padres_Box_Score__September_1__2025___Baseball-Reference_com.json
legacy_bref_unknown,SDN202509020,1,5,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Diego_Padres_Box_Score__September_2__2025___Baseball-Reference_com.json
legacy_bref_unknown,SDN202509030,0,2,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Diego_Padres_Box_Score__September_3__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN201308110,2,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Francisco_Giants_Box_Score__August_11__2013___Baseball-Reference_com.json
legacy_bref_unknown,SFN202508290,4,14,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Francisco_Giants_Box_Score__August_29__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202508300,2,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Francisco_Giants_Box_Score__August_30__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN201308090,2,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Francisco_Giants_Box_Score__August_9__2013___Baseball-Reference_com.json
legacy_bref_unknown,SFN202306020,2,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_San_Francisco_Giants_Box_Score__June_2__2023___Baseball-Reference_com.json
legacy_bref_unknown,SEA201607010,2,9,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Seattle_Mariners_Box_Score__July_1__2016___Baseball-Reference_com.json
legacy_bref_unknown,SEA201606300,1,6,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Seattle_Mariners_Box_Score__June_30__2016___Baseball-Reference_com.json
legacy_bref_unknown,TBA201907020,6,9,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Tampa_Bay_Rays_Box_Score__July_2__2019___Baseball-Reference_com.json
legacy_bref_unknown,TBA201907030,1,8,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Tampa_Bay_Rays_Box_Score__July_3__2019___Baseball-Reference_com.json
legacy_bref_unknown,TOR201907050,1,4,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Toronto_Blue_Jays_Box_Score__July_5__2019___Baseball-Reference_com.json
legacy_bref_unknown,TOR201907060,2,7,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Toronto_Blue_Jays_Box_Score__July_6__2019___Baseball-Reference_com.json
legacy_bref_unknown,WAS201407070,3,14,/Users/jeremypushkin/mlb_processor/cache/Baltimore_Orioles_vs_Washington_Nationals_Box_Score__July_7__2014___Baseball-Reference_com.json
legacy_bref_unknown,BAL199506240,2,9,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__June_24__1995___Baseball-Reference_com.json
legacy_bref_unknown,BAL200906290,3,13,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__June_29__2009___Baseball-Reference_com.json
legacy_bref_unknown,BAL200806020,3,5,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__June_2__2008___Baseball-Reference_com.json
legacy_bref_unknown,BAL200605170,1,4,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__May_17__2006___Baseball-Reference_com.json
legacy_bref_unknown,BAL200110060,1,3,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__October_6__2001___Baseball-Reference_com.json
legacy_bref_unknown,BAL200709060,0,9,/Users/jeremypushkin/mlb_processor/cache/Boston_Red_Sox_vs_Baltimore_Orioles_Box_Score__September_6__2007___Baseball-Reference_com.json
legacy_bref_unknown,OAK201307030,2,4,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_Oakland_Athletics_Box_Score__July_3__2013___Baseball-Reference_com.json
legacy_bref_unknown,SFN202508260,1,6,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_San_Francisco_Giants_Box_Score__August_26__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202508270,3,11,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_San_Francisco_Giants_Box_Score__August_27__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN201307280,4,8,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_San_Francisco_Giants_Box_Score__July_28__2013___Baseball-Reference_com.json
legacy_bref_unknown,SFN202106040,0,2,/Users/jeremypushkin/mlb_processor/cache/Chicago_Cubs_vs_San_Francisco_Giants_Box_Score__June_4__2021___Baseball-Reference_com.json
legacy_bref_unknown,BAL200804170,4,8,/Users/jeremypushkin/mlb_processor/cache/Chicago_White_Sox_vs_Baltimore_Orioles_Box_Score__April_17__2008___Baseball-Reference_com.json
legacy_bref_unknown,BAL201406240,1,4,/Users/jeremypushkin/mlb_processor/cache/Chicago_White_Sox_vs_Baltimore_Orioles_Box_Score__June_24__2014___Baseball-Reference_com.json
legacy_bref_unknown,MIL200906140,1,11,/Users/jeremypushkin/mlb_processor/cache/Chicago_White_Sox_vs_Milwaukee_Brewers_Box_Score__June_14__2009___Baseball-Reference_com.json
legacy_bref_unknown,SFN202207020,1,5,/Users/jeremypushkin/mlb_processor/cache/Chicago_White_Sox_vs_San_Francisco_Giants_Box_Score__July_2__2022___Baseball-Reference_com.json
legacy_bref_unknown,CHN201404180,2,4,/Users/jeremypushkin/mlb_processor/cache/Cincinnati_Reds_vs_Chicago_Cubs_Box_Score__April_18__2014___Baseball-Reference_com.json
legacy_bref_unknown,COL201805260,2,6,/Users/jeremypushkin/mlb_processor/cache/Cincinnati_Reds_vs_Colorado_Rockies_Box_Score__May_26__2018___Baseball-Reference_com.json
legacy_bref_unknown,COL201805270,2,4,/Users/jeremypushkin/mlb_processor/cache/Cincinnati_Reds_vs_Colorado_Rockies_Box_Score__May_27__2018___Baseball-Reference_com.json
legacy_bref_unknown,SFN202504070,5,10,/Users/jeremypushkin/mlb_processor/cache/Cincinnati_Reds_vs_San_Francisco_Giants_Box_Score__April_7__2025___Baseball-Reference_com.json
legacy_bref_unknown,BAL202305290,4,12,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Guardians_vs_Baltimore_Orioles_Box_Score__May_29__2023___Baseball-Reference_com.json
mlb_spring,CIN202502220,0,7,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Guardians_vs_Cincinnati_Reds_Spring_Training__Saturday__February_22__2025.json
legacy_bref_unknown,BAL201005150,4,7,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Baltimore_Orioles_Box_Score__May_15__2010___Baseball-Reference_com.json
legacy_bref_unknown,CHA201504200,3,5,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Chicago_White_Sox_Box_Score__April_20__2015___Baseball-Reference_com.json
legacy_bref_unknown,CHA201304240,1,3,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Chicago_White_Sox_Box_Score__April_24__2013___Baseball-Reference_com.json
legacy_bref_unknown,CHA201505180,3,6,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Chicago_White_Sox_Box_Score__May_18__2015___Baseball-Reference_com.json
legacy_bref_unknown,CHA201505210,2,5,/Users/jeremypushkin/mlb_processor/cache/Cleveland_Indians_vs_Chicago_White_Sox_Box_Score__May_21__2015___Baseball-Reference_com.json
mlb_spring,ARI202502210,0,1,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Arizona_Diamondbacks_Spring_Training__Friday__February_21__2025.json
legacy_bref_unknown,CHN201604150,2,4,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Chicago_Cubs_Box_Score__April_15__2016___Baseball-Reference_com.json
legacy_bref_unknown,CHN201305130,2,6,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Chicago_Cubs_Box_Score__May_13__2013___Baseball-Reference_com.json
legacy_bref_unknown,PHI201705240,2,6,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_Philadelphia_Phillies_Box_Score__May_24__2017___Baseball-Reference_com.json
legacy_bref_unknown,SFN202104100,0,2,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__April_10__2021___Baseball-Reference_com.json
legacy_bref_unknown,SFN202407280,0,8,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__July_28__2024___Baseball-Reference_com.json
legacy_bref_unknown,SFN202206080,4,6,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__June_8__2022___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505010,2,4,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__May_1__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505020,2,5,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__May_2__2025___Baseball-Reference_com.json
legacy_bref_unknown,SFN202505030,1,3,/Users/jeremypushkin/mlb_processor/cache/Colorado_Rockies_vs_San_Francisco_Giants_Box_Score__May_3__2025___Baseball-Reference_com.json
legacy_bref_unknown,ATH202508250,8,13,/Users/jeremypushkin/mlb_processor/cache/Detroit_Tigers_vs_Athletics_Box_Score__August_25__2025___Baseball-Reference_com.json
legacy_bref_unknown,BAL200807190,2,16,/Users/jeremypushkin/mlb_processor/cache/Detroit_Tigers_vs_Baltimore_Orioles_Box_Score__July_19__2008___Baseball-Reference_com.json
legacy_bref_unknown,BAL201905270,0,4,/Users/jeremypushkin/mlb_processor/cache/Detroit_Tigers_vs_Baltimore_Orioles_Box_Score__May_27__2019___Baseball-Reference_com.json
legacy_bref_unknown,BAL200505280,1,3,/Users/jeremypushkin/mlb_processor/cache/Detroit_Tigers_vs_Baltimore_Orioles_Box_Score__May_28__2005___Baseball-Reference_com.json
legacy_bref_unknown,CHA201505070,1,6,/Users/jeremypushkin/mlb_processor/cache/Detroit_Tigers_vs_Chicago_White_Sox_Box_Score__May_7__2015___Baseball-Reference_com.json
legacy_bref_unknown,BAL201006240,3,13,/Users/jeremypushkin/mlb_processor/cache/Florida_Marlins_vs_Baltimore_Orioles_Box_Score__June_24__2010___Baseball-Reference_com.json
legacy_bref_unknown,COL202404280,0,5,/Users/jeremypushkin/mlb_processor/cache/Houston_Astros_vs_Colorado_Rockies_Box_Score__April_28__2024___Baseball-Reference_com.json
legacy_bref_unknown,OAK202307230,1,3,/Users/jeremypushkin/mlb_processor/cache/Houston_Astros_vs_Oakland_Athletics_Box_Score__July_23__2023___Baseball-Reference_com.json
legacy_bref_unknown,SFN202406120,1,6,/Users/jeremypushkin/mlb_processor/cache/Houston_Astros_vs_San_Francisco_Giants_Box_Score__June_12__2024___Baseball-Reference_com.json
legacy_bref_unknown,BAL201205250,1,11,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_Baltimore_Orioles_Box_Score__May_25__2012___Baseball-Reference_com.json
legacy_bref_unknown,BAL202109060,2,5,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_Baltimore_Orioles_Box_Score__September_6__2021___Baseball-Reference_com.json
legacy_bref_unknown,BOS201407190,2,4,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_Boston_Red_Sox_Box_Score__July_19__2014___Baseball-Reference_com.json
legacy_bref_unknown,CHA201409280,0,4,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_Chicago_White_Sox_Box_Score__September_28__2014___Baseball-Reference_com.json
legacy_bref_unknown,SFN202304080,1,8,/Users/jeremypushkin/mlb_processor/cache/Kansas_City_Royals_vs_San_Francisco_Giants_Box_Score__April_8__2023___Baseball-Reference_com.json
