group,game_id,scope,side,name,field,cache_file
unknown_postseason,DET201410050,batter,away,Nick Markakis,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Markakis,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Markakis,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Markakis,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Steve Pearce,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Steve Pearce,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Steve Pearce,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Steve Pearce,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Adam Jones,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Adam Jones,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Adam Jones,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Adam Jones,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nelson Cruz,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nelson Cruz,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nelson Cruz,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nelson Cruz,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Delmon Young,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Delmon Young,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Delmon Young,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Delmon Young,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,David Lough,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,David Lough,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,David Lough,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,David Lough,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,J.J. Hardy,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,J.J. Hardy,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,J.J. Hardy,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,J.J. Hardy,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Hundley,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Hundley,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Hundley,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Nick Hundley,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Ryan Flaherty,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Ryan Flaherty,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Ryan Flaherty,3B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Ryan Flaherty,HR,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Jonathan Schoop,SB,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
unknown_postseason,DET201410050,batter,away,Jonathan Schoop,2B,/Users/jeremypushkin/mlb_processor/cache/2014_American_League_Division_Series__ALDS__Game_3__Baltimore_Orioles_vs_Detroit_Tigers__October_5__2014___Baseball-Reference_com.json
