Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Juan Abreu,26.143,Aug 29,Sep 27 2011,/1,HOU,0.1,6-0,185,R,R,Apr 8 1985,San Francisco de Macoris Duarte DO,Signed by the Kansas City Royals as an amateur free agent in 2003.,,,Juan de Dios,abreuju01
2,Dustin Ackley,23.111,Jun 17,May 29 2016,4/HD3,SEA,7.7,6-1,205,L,R,Feb 26 1988,Winston-Salem NC US,Drafted by the Seattle Mariners in the 1st round (2nd pick) of the 2009 amateur draft. Player signed August 17 2009.,University of North Carolina at Chapel Hill (Chapel Hill NC),North Forsyth HS (Winston-Salem NC),Dustin Michael,ackledu01
3,Ryan Adams,24.029,May 20,Sep 19 2011,4/H,BAL,-0.4,5-11,185,R,R,Apr 21 1987,New Orleans LA US,Drafted by the Baltimore Orioles in the 2nd round of the 2006 amateur draft. Player signed July 13 2006.,,Jesuit HS (New Orleans LA),Ryan Scott,adamsry01
4,Nathan Adcock,23.034,Mar 31,Jul 26 2015,1,KCR,0.6,6-4,235,R,R,Feb 25 1988,Elizabethtown KY US,Drafted by the Seattle Mariners in the 5th round of the 2006 amateur draft. Player signed June 20 2006.,,North Hardin HS (Radcliff KY),Nathan Masler,adcocna01
5,Al Alburquerque,24.309,Apr 15,Sep 30 2017,1,DET,5.1,6-0,195,R,R,Jun 10 1986,San Pedro de Macoris San Pedro de Macoris DO,Signed by the Chicago Cubs as an amateur free agent in 2003.,,,Alberto Jose,albural01
6,Jose Altuve,21.075,Jul 20,,4/H,HOU,52.4,5-6,167,R,R,May 6 1990,Puerto Cabello Carabobo VE,Signed by the Houston Astros as an amateur free agent in 2007.,,,Jose Carlos,altuvjo01
7,Henderson Alvarez III,21.114,Aug 10,Sep 30 2017,1,TOR,8.5,6-0,205,R,R,Apr 18 1990,Valencia Carabobo VE,Signed by the Toronto Blue Jays as an amateur free agent in 2006.,,,Henderson Javier,alvarhe01
8,Alexi Amarista,22.020,Apr 26,Oct 1 2017,4/7H6,LAA,-0.4,5-6,160,L,R,Apr 6 1989,Barcelona Anzoategui VE,Signed by the Los Angeles Angels of Anaheim as an amateur free agent in 2007.,,,Alexi Jose,amarial01
9,Matt Angle,25.310,Jul 17,Sep 28 2011,87/H9D,BAL,-0.2,5-9,185,L,R,Sep 10 1985,Columbus OH US,Drafted by the Baltimore Orioles in the 7th round of the 2007 amateur draft. Player signed June 15 2007.,The Ohio State University (Columbus OH),Whitehall Yearling HS (Whitehall OH),Matthew Ryan,anglema01
10,Dylan Axelrod,26.039,Sep 7,Aug 18 2015,/1,CHW,0.0,5-10,195,R,R,Jul 30 1985,Santa Barbara CA US,Drafted by the San Diego Padres in the 30th round of the 2007 amateur draft. Player signed June 26 2007.,University of California Irvine (Irvine CA),Santa Barbara HS (Santa Barbara CA),Dylan Davis Haines,axelrdy01
11,Anthony Bass,23.224,Jun 13,Jun 5 2023,1,SDP,3.8,6-2,205,R,R,Nov 1 1987,Dearborn MI US,Drafted by the San Diego Padres in the 5th round of the 2008 amateur draft. Player signed June 14 2008.,Wayne State University (Detroit MI),Trenton HS (Trenton MI),Anthony Edward,bassan01
12,Pedro Beato,24.156,Apr 1,Jul 29 2017,1,NYM,-1.0,6-6,230,R,R,Oct 27 1986,Santo Domingo Distrito Nacional DO,Drafted by the Baltimore Orioles in the 1st round (32nd pick) of the 2006 amateur draft. Player signed June 20 2006.,St. Petersburg College (St. Petersburg FL),Xaverian HS (Brooklyn NY),Pedro,beatope01
13,Blake Beavan,22.167,Jul 3,Apr 15 2014,1,SEA,1.7,6-7,255,R,R,Jan 17 1989,Irving TX US,Drafted by the Texas Rangers in the 1st round (17th pick) of the 2007 amateur draft. Player signed August 14 2007.,,Irving HS (Irving TX),Blake William,beavabl01
14,Chad Beck,26.239,Sep 13,Oct 1 2012,/1,TOR,-0.2,6-4,250,R,R,Jan 17 1985,Jasper TX US,Drafted by the Arizona Diamondbacks in the 14th round of the 2006 amateur draft. Player signed June 14 2006.,Panola College (Carthage TX) University of Louisiana at Lafayette (Lafayette LA),Woodville HS (Woodville TX),Chad Lee,beckch01
15,Duane Below,25.247,Jul 20,May 27 2013,1,DET,0.2,6-3,210,L,L,Nov 15 1985,Britton MI US,Drafted by the Detroit Tigers in the 19th round of the 2006 amateur draft. Player signed June 12 2006.,Lake Michigan College (Benton Harbor MI),Britton-Macon HS (Britton MI),Duane Arthur,belowdu01
16,Brandon Belt,22.345,Mar 31,Oct 1 2023,37H/9,SFG,29.9,6-3,230,L,L,Apr 20 1988,Nacogdoches TX US,Drafted by the San Francisco Giants in the 5th round of the 2009 amateur draft. Player signed August 13 2009.,San Jacinto College (Pasadena TX) San Jacinto College North Campus (Houston TX) University of Texas at Austin (Austin TX),Hudson HS (Lufkin TX),Brandon Kyle,beltbr01
17,Joe Benson,23.185,Sep 6,Sep 28 2011,7/98HD,MIN,-0.7,6-1,205,R,R,Mar 5 1988,Hinsdale IL US,Drafted by the Minnesota Twins in the 2nd round of the 2006 amateur draft. Player signed June 10 2006.,,Joliet Catholic Academy (Joliet IL),William Joseph,bensojo01
18,Dellin Betances,23.183,Sep 22,Apr 7 2021,/1,NYY,11.1,6-8,265,R,R,Mar 23 1988,New York NY US,Drafted by the New York Yankees in the 8th round of the 2006 amateur draft. Player signed July 5 2006.,,Grand Street Campus (Brooklyn NY),Dellin,betande01
19,Bruce Billings,25.190,May 27,Apr 25 2014,/1,COL,-0.3,6-0,205,R,R,Nov 18 1985,San Diego CA US,Drafted by the Colorado Rockies in the 30th round of the 2007 amateur draft. Player signed June 10 2007.,San Diego State University (San Diego CA),Samuel F. B. Morse HS (San Diego CA),Bruce,billibr02
20,Charlie Blackmon,24.341,Jun 7,Sep 29 2024,7/8H,COL,21.7,6-3,221,L,L,Jul 1 1986,Dallas TX US,Drafted by the Colorado Rockies in the 2nd round of the 2008 amateur draft. Player signed June 8 2008.,Georgia Institute of Technology (Atlanta GA) Young Harris College (Young Harris GA),North Gwinnett HS (Suwanee GA),Charles Cobb,blackch02
21,Brad Brach,25.141,Aug 31,Sep 8 2021,/1,SDP,5.4,6-6,215,R,R,Apr 12 1986,Freehold NJ US,Drafted by the San Diego Padres in the 42nd round of the 2008 amateur draft. Player signed June 8 2008.,Monmouth University (West Long Branch NJ),Freehold Township HS (Freehold Township NJ),Brad,brachbr01
22,Andrew Brackman,25.292,Sep 22,Sep 28 2011,/1,NYY,0.1,6-10,230,R,R,Dec 4 1985,Cincinnati OH US,Drafted by the New York Yankees in the 1st round (30th pick) of the 2007 amateur draft. Player signed August 15 2007.,North Carolina State University (Raleigh NC),Archbishop Moeller HS (Cincinnati OH),Andrew Warren,brackan01
23,Zack Britton,23.102,Apr 3,Sep 30 2022,1,BAL,14.0,6-1,200,L,L,Dec 22 1987,Panorama City CA US,Drafted by the Baltimore Orioles in the 3rd round of the 2006 amateur draft. Player signed June 23 2006.,,Weatherford HS (Weatherford TX),Zackary Grant,brittza01
