No,Player,Team,Opponent,Pitcher,Date,PlayerID
1,Mark Grace,Chicago Cubs,Arizona Diamondbacks,Andy Benes,05/12/1998,gracema01
2,Devon White,Arizona Diamondbacks,Pittsburgh Pirates,Jason Schmidt,05/16/1998,whitede03
3,Devon White,Arizona Diamondbacks,Pittsburgh Pirates,Jon Leiber,05/18/1998,whitede03
4,Jay Bell,Arizona Diamondbacks,Anaheim Angels,Ken Hill,06/10/1998,bellja01
5,Travis Lee,Arizona Diamondbacks,Anaheim Angels,Pep Harris,06/10/1998,leetr01
6,Alex Rodriguez,Seattle Mariners,Arizona Diamondbacks,Bobby Chouinard,06/27/1998,rodrial01
7,Dante Bichette,Colorado Rockies,Arizona Diamondbacks,Brian Anderson,07/18/1998,bicheda01
8,Mark Grace,Chicago Cubs,Arizona Diamondbacks,Amaury Telemaco,07/29/1998,gracema01
9,Hanley Frias,Arizona Diamondbacks,Philadelphia Phillies,Mike Grace,08/12/1998,friasha01
10,Jeromy Burnitz,Milwaukee Brewers,Arizona Diamondbacks,Amaury Telemaco,08/29/1998,burnije01
11,Sean Casey,Cincinnati Reds,Arizona Diamondbacks,Andy Benes,06/23/1999,caseyse01
12,Marvin Benard,San Francisco Giants,Arizona Diamondbacks,Armando Reynoso,08/02/1999,benarma01
13,Steve Finley,Arizona Diamondbacks,San Francisco Giants,Mark Gardner,08/04/1999,finlest01
14,Erubiel Durazo,Arizona Diamondbacks,Pittsburgh Pirates,Jimmy Anderson,09/13/1999,durazer01
15,Tony Gwynn,San Diego Padres,Arizona Diamondbacks,Dan Plesac,10/01/1999,gwynnto01
16,Luis Gonzalez,Arizona Diamondbacks,San Francisco Giants,Joe Nathan,04/23/2000,gonzalu01
17,Wally Joyner,Atlanta Braves,Arizona Diamondbacks,Johnny Ruffin,08/03/2000,joynewa01
18,Reggie Sanders,Atlanta Braves,Arizona Diamondbacks,Todd Stottlemyre,09/16/2000,sandere01
19,Charles Johnson,Florida Marlins,Arizona Diamondbacks,Curt Schilling,04/25/2001,johnsch01
20,Steve Finley,Arizona Diamondbacks,Atlanta Braves,Mike Remlinger,04/26/2001,finlest01
21,Rich Aurilia,San Francisco Giants,Arizona Diamondbacks,Greg Swindell,07/28/2001,aurilri01
22,Damian Miller,Arizona Diamondbacks,Pittsburgh Pirates,Todd Richie,08/14/2001,milleda01
23,Greg Colbrunn,Arizona Diamondbacks,Philadelphia Phillies,Carlos Silva,05/19/2002,colbrgr01
24,Rich Aurilia,San Francisco Giants,Arizona Diamondbacks,Curt Schilling,07/05/2002,aurilri01
25,Mark Grace,Arizona Diamondbacks,Colorado Rockies,John Thompson,07/23/2002,gracema01
26,Brian Jordan,Los Angeles Dodgers,Arizona Diamondbacks,Rick Helling,09/02/2002,jordabr01
27,Brian Daubach,Chicago White Sox,Arizona Diamondbacks,Elmer Dessens,06/05/2003,daubabr01
28,Jose Cruz Jr.,San Francisco Giants,Arizona Diamondbacks,Brandon Webb,07/13/2003,cruzjo02
29,Brian Schneider,Montreal Expos,Arizona Diamondbacks,Steve Sparks,05/16/2004,schnebr01
30,Luis A. Gonzalez,Colorado Rockies,Arizona Diamondbacks,Michael Gosling,09/14/2004,gonzalu01
31,Luis Terrero,Arizona Diamondbacks,Colorado Rockies,Shawn Estes,09/15/2004,terrelu01
32,Tony Clark,Arizona Diamondbacks,Kansas City Royals,Ryan Jensen,06/12/2005,clarkto02
33,Johnny Estrada,Arizona Diamondbacks,Houston Astros,Chad Qualls,08/04/2006,estrajo01
34,Stephen Drew,Arizona Diamondbacks,San Diego Padres,Cla Meredith,09/30/2006,drewst01
35,Julio Franco,New York Mets,Arizona Diamondbacks,Randy Johnson,05/04/2007,francju01
36,Scott Hairston,San Diego Padres,Arizona Diamondbacks,Doug Davis,07/05/2008,hairssc01
37,Tony Clark,Arizona Diamondbacks,Chicago Cubs,Ted Lilly,07/23/2008,clarkto02
38,Stephen Drew,Arizona Diamondbacks,Florida Marlins,Rickey Nolasco,08/24/2008,drewst01
39,Andre Ethier,Los Angeles Dodgers,Arizona Diamondbacks,Brandon Webb,08/31/2008,ethiean01
40,Ryan Roberts,Arizona Diamondbacks,Pittsburgh Pirates,Zach Duke,07/24/2009,roberry01
41,Miguel Montero,Arizona Diamondbacks,Los Angeles Dodgers,Jonathan Broxton,08/15/2009,montemi01
42,Alex Romero,Arizona Diamondbacks,Houston Astros,Wilton Lopez,08/28/2009,romeral01
43,Mark Reynolds,Arizona Diamondbacks,San Francisco,Madison Bumgarner,07/24/2010,reynoma01
44,Gerardo Parra,Arizona Diamondbacks,Pittsburgh,Chris Resop,04/16/2012,parrage01
45,Jason Kubel,Arizona Diamondbacks,Chicago Cubs,Matt Garza,06/24/2012,kubelja01
46,Adam Eaton,Arizona Diamondbacks,Baltimore Orioles,Darren O'Day,08/12/2013,eatonad01
47,Paul Goldschmidt,Arizona Diamondbacks,Houston Astros,Brad Peacock,06/10/2014,goldspa01
48,Roger Kieschnick,Arizona Diamondbacks,Milwaukee Braves,Francisco Rodriguez,06/17/2014,kiescro01
49,Didi Gregorius,Arizona Diamondbacks,Detroit Tigers,Anibel Sanchez,07/23/2014,gregodi01
50,Charlie Blackmon,Colorado Rockies,Arizona Diamondbacks,Matt Stites,08/30/2014,blackch01
51,A.J. Pollock,Arizona Diamondbacks,Atlanta Braves,Brandon Cunniff,06/02/2015,polloaj01
52,Stephen Vogt,Oakland Athletics,Arizona Diamondbacks,Jhoulys Chacîn,08/29/2015,vogtst01
53,Paul Goldschmidt,Arizona Diamondbacks,Houston Astros,Collin McHugh,05/30/2016,goldspa01
54,Josh Donaldson,Toronto Blue Jays,Arizona Diamondbacks,Patrick Corbin,07/20/2016,donaljo01
55,Brandon Drury,Arizona Diamondbacks,Colorado Rockies,Eddie Butler,09/13/2016,drurybr01
56,Jake Lamb,Arizona Diamondbacks,San Francisco Giants,Johnny Cueto,04/04/2017,lambja01
57,Daniel Descalso,Arizona Diamondbacks,Colorado Rockies,Jordan Lyles,04/30/2017,descada01
58,Yasmany Tomas,Arizona Diamondbacks,New York Mets,Tommy Milone,05/16/2017,tomasya01
59,Tommy Joseph,Philadelphia Phillies,Arizona Diamondbacks,TJ McFarland,06/23/2017,josepto01
60,Chris Herrmann,Arizona Diamondbacks,Philadelphia Phillies,Nick Pivetta,06/26/2017,herrmch01
61,Denard Span,Seattle Mariners,Arizona Diamondbacks,Brad Boxberger,08/25/2018,spande01
62,Hunter Pence,Texas Rangers,Arizona Diamondbacks,Archie Bradley,04/10/2019,pencehu01
63,Daniel Murphy,Colorado Rockies,Arizona Diamondbacks,Robbie Ray,07/05/2019,murphda01
64,David Peralta,Arizona Diamondbacks,Cincinnati Reds,Jose DeLeon,04/11/2021,peralda01
65,Christian Yelich,Milwaukee Brewers,Arizona Diamondbacks,Riley Smith,06/22/2021,yelicch01
66,Kyle Seager,Seattle Mariners,Arizona Diamondbacks,Caleb Smith,09/04/2021,seageky01
67,J.D. Davis,San Francisco Giants,Arizona Diamondbacks,Mark Melancon,09/25/2022,davisjd01
68,Eddie Rosario,Atlanta Braves,Arizona Diamondbacks,Merrill Kelly,06/02/2023,rosared01
69,Alek Thomas,Arizona Diamondbacks,Philadelphia Phillies,Craig Kimbrel,10/20/2023,thomaal01
70,Ketel Marte,Arizona Diamondbacks,Minnesota Twins,David Festa,06/27/2024,marteke01
71,Pavin Smith,Arizona Diamondbacks,San Francisco Giants,Spencer Bivens,09/25/2024,smithpa04
72,Pavin Smith,Arizona Diamondbacks,Baltimore Orioles,Dean Kremer,04/09/2025,smithpa04
